[2025-08-30T13:01:48.331Z] [INFO] [T+0m] 📝 Logging to: s2-logs/s2-harness-2025-08-30T13-01-48-330Z.log
[2025-08-30T13:01:48.332Z] [INFO] [T+0m] 🏃 Starting W1: Realistic Runs
[2025-08-30T13:01:48.332Z] [INFO] [T+0m] 🔄 Starting W2: SSE Churn
[2025-08-30T13:01:48.350Z] [INFO] [T+0m] 📦 Starting W3: Registry Pulse
[2025-08-30T13:01:48.350Z] [INFO] [T+0m] 🛡️ Starting W4: Safety Probes
[2025-08-30T13:01:48.351Z] [INFO] [T+0m] 🔒 Starting W5: Privacy Slice
[2025-08-30T13:01:48.351Z] [INFO] [T+0m] 🌪️ Starting W6: Light Chaos
[2025-08-30T13:01:48.351Z] [INFO] [T+0m] 📊 Starting Availability Monitor
[2025-08-30T13:01:48.352Z] [INFO] [T+0m] 📈 Starting Metrics Capture
[2025-08-30T13:01:48.362Z] [ERROR] [T+0m] SSE sse-0 request error: 
[2025-08-30T13:01:48.363Z] [ERROR] [T+0m] SSE sse-1 request error: 
[2025-08-30T13:01:48.363Z] [ERROR] [T+0m] SSE sse-2 request error: 
[2025-08-30T13:01:48.363Z] [ERROR] [T+0m] SSE sse-3 request error: 
[2025-08-30T13:01:48.364Z] [ERROR] [T+0m] SSE sse-4 request error: 
[2025-08-30T13:01:48.364Z] [ERROR] [T+0m] SSE sse-5 request error: 
[2025-08-30T13:01:48.364Z] [ERROR] [T+0m] SSE sse-6 request error: 
[2025-08-30T13:01:48.364Z] [ERROR] [T+0m] SSE sse-7 request error: 
[2025-08-30T13:01:48.364Z] [ERROR] [T+0m] SSE sse-8 request error: 
[2025-08-30T13:01:48.365Z] [ERROR] [T+0m] SSE sse-9 request error: 
[2025-08-30T13:01:48.365Z] [ERROR] [T+0m] SSE sse-10 request error: 
[2025-08-30T13:01:48.365Z] [ERROR] [T+0m] SSE sse-11 request error: 
[2025-08-30T13:01:48.365Z] [ERROR] [T+0m] SSE sse-12 request error: 
[2025-08-30T13:01:48.365Z] [ERROR] [T+0m] SSE sse-13 request error: 
[2025-08-30T13:01:48.366Z] [ERROR] [T+0m] SSE sse-14 request error: 
[2025-08-30T13:01:48.366Z] [ERROR] [T+0m] SSE sse-15 request error: 
[2025-08-30T13:01:48.366Z] [ERROR] [T+0m] SSE sse-16 request error: 
[2025-08-30T13:01:48.366Z] [ERROR] [T+0m] SSE sse-17 request error: 
[2025-08-30T13:01:48.366Z] [ERROR] [T+0m] SSE sse-18 request error: 
[2025-08-30T13:01:48.366Z] [ERROR] [T+0m] SSE sse-19 request error: 
[2025-08-30T13:01:49.867Z] [ERROR] [T+0m] SSE sse-0 request error: 
[2025-08-30T13:01:49.868Z] [ERROR] [T+0m] SSE sse-1 request error: 
[2025-08-30T13:01:49.868Z] [ERROR] [T+0m] SSE sse-2 request error: 
[2025-08-30T13:01:49.868Z] [ERROR] [T+0m] SSE sse-4 request error: 
[2025-08-30T13:01:49.868Z] [ERROR] [T+0m] SSE sse-3 request error: 
[2025-08-30T13:01:49.868Z] [ERROR] [T+0m] SSE sse-5 request error: 
[2025-08-30T13:01:49.869Z] [ERROR] [T+0m] SSE sse-6 request error: 
[2025-08-30T13:01:49.869Z] [ERROR] [T+0m] SSE sse-7 request error: 
[2025-08-30T13:01:49.869Z] [ERROR] [T+0m] SSE sse-8 request error: 
[2025-08-30T13:01:49.869Z] [ERROR] [T+0m] SSE sse-9 request error: 
[2025-08-30T13:01:49.870Z] [ERROR] [T+0m] SSE sse-10 request error: 
[2025-08-30T13:01:49.870Z] [ERROR] [T+0m] SSE sse-11 request error: 
[2025-08-30T13:01:49.870Z] [ERROR] [T+0m] SSE sse-12 request error: 
[2025-08-30T13:01:49.870Z] [ERROR] [T+0m] SSE sse-13 request error: 
[2025-08-30T13:01:49.870Z] [ERROR] [T+0m] SSE sse-14 request error: 
[2025-08-30T13:01:49.871Z] [ERROR] [T+0m] SSE sse-15 request error: 
[2025-08-30T13:01:49.871Z] [ERROR] [T+0m] SSE sse-16 request error: 
[2025-08-30T13:01:49.871Z] [ERROR] [T+0m] SSE sse-17 request error: 
[2025-08-30T13:01:49.871Z] [ERROR] [T+0m] SSE sse-18 request error: 
[2025-08-30T13:01:49.872Z] [ERROR] [T+0m] SSE sse-19 request error: 
[2025-08-30T13:01:52.858Z] [ERROR] [T+0m] SSE sse-0 request error: 
[2025-08-30T13:01:52.858Z] [ERROR] [T+0m] SSE sse-1 request error: 
[2025-08-30T13:01:52.858Z] [ERROR] [T+0m] SSE sse-2 request error: 
[2025-08-30T13:01:52.858Z] [ERROR] [T+0m] SSE sse-4 request error: 
[2025-08-30T13:01:52.859Z] [ERROR] [T+0m] SSE sse-3 request error: 
[2025-08-30T13:01:52.859Z] [ERROR] [T+0m] SSE sse-5 request error: 
[2025-08-30T13:01:52.859Z] [ERROR] [T+0m] SSE sse-6 request error: 
[2025-08-30T13:01:52.859Z] [ERROR] [T+0m] SSE sse-8 request error: 
[2025-08-30T13:01:52.859Z] [ERROR] [T+0m] SSE sse-7 request error: 
[2025-08-30T13:01:52.859Z] [ERROR] [T+0m] SSE sse-9 request error: 
[2025-08-30T13:01:52.859Z] [ERROR] [T+0m] SSE sse-10 request error: 
[2025-08-30T13:01:52.860Z] [ERROR] [T+0m] SSE sse-11 request error: 
[2025-08-30T13:01:52.860Z] [ERROR] [T+0m] SSE sse-12 request error: 
[2025-08-30T13:01:52.860Z] [ERROR] [T+0m] SSE sse-13 request error: 
[2025-08-30T13:01:52.860Z] [ERROR] [T+0m] SSE sse-14 request error: 
[2025-08-30T13:01:52.860Z] [ERROR] [T+0m] SSE sse-15 request error: 
[2025-08-30T13:01:52.861Z] [ERROR] [T+0m] SSE sse-17 request error: 
[2025-08-30T13:01:52.861Z] [ERROR] [T+0m] SSE sse-16 request error: 
[2025-08-30T13:01:52.861Z] [ERROR] [T+0m] SSE sse-18 request error: 
[2025-08-30T13:01:52.861Z] [ERROR] [T+0m] SSE sse-19 request error: 
[2025-08-30T13:01:58.822Z] [ERROR] [T+0m] SSE sse-0 request error: 
[2025-08-30T13:01:58.822Z] [ERROR] [T+0m] SSE sse-1 request error: 
[2025-08-30T13:01:58.823Z] [ERROR] [T+0m] SSE sse-2 request error: 
[2025-08-30T13:01:58.823Z] [ERROR] [T+0m] SSE sse-4 request error: 
[2025-08-30T13:01:58.823Z] [ERROR] [T+0m] SSE sse-3 request error: 
[2025-08-30T13:01:58.823Z] [ERROR] [T+0m] SSE sse-5 request error: 
[2025-08-30T13:01:58.824Z] [ERROR] [T+0m] SSE sse-8 request error: 
[2025-08-30T13:01:58.824Z] [ERROR] [T+0m] SSE sse-6 request error: 
[2025-08-30T13:01:58.824Z] [ERROR] [T+0m] SSE sse-7 request error: 
[2025-08-30T13:01:58.824Z] [ERROR] [T+0m] SSE sse-9 request error: 
[2025-08-30T13:01:58.824Z] [ERROR] [T+0m] SSE sse-10 request error: 
[2025-08-30T13:01:58.824Z] [ERROR] [T+0m] SSE sse-11 request error: 
[2025-08-30T13:01:58.824Z] [ERROR] [T+0m] SSE sse-12 request error: 
[2025-08-30T13:01:58.825Z] [ERROR] [T+0m] SSE sse-13 request error: 
[2025-08-30T13:01:58.825Z] [ERROR] [T+0m] SSE sse-14 request error: 
[2025-08-30T13:01:58.825Z] [ERROR] [T+0m] SSE sse-15 request error: 
[2025-08-30T13:01:58.825Z] [ERROR] [T+0m] SSE sse-17 request error: 
[2025-08-30T13:01:58.825Z] [ERROR] [T+0m] SSE sse-16 request error: 
[2025-08-30T13:01:58.826Z] [ERROR] [T+0m] SSE sse-18 request error: 
[2025-08-30T13:01:58.826Z] [ERROR] [T+0m] SSE sse-19 request error: 
[2025-08-30T13:02:08.344Z] [ERROR] [T+0m] Run 0ce20f3f-1a0b-4a20-8b26-b29e966655ee failed: 
[2025-08-30T13:02:10.744Z] [ERROR] [T+0m] SSE sse-0 request error: 
[2025-08-30T13:02:10.744Z] [ERROR] [T+0m] SSE sse-1 request error: 
[2025-08-30T13:02:10.744Z] [ERROR] [T+0m] SSE sse-2 request error: 
[2025-08-30T13:02:10.745Z] [ERROR] [T+0m] SSE sse-4 request error: 
[2025-08-30T13:02:10.745Z] [ERROR] [T+0m] SSE sse-3 request error: 
[2025-08-30T13:02:10.745Z] [ERROR] [T+0m] SSE sse-5 request error: 
[2025-08-30T13:02:10.745Z] [ERROR] [T+0m] SSE sse-8 request error: 
[2025-08-30T13:02:10.745Z] [ERROR] [T+0m] SSE sse-6 request error: 
[2025-08-30T13:02:10.745Z] [ERROR] [T+0m] SSE sse-7 request error: 
[2025-08-30T13:02:10.746Z] [ERROR] [T+0m] SSE sse-9 request error: 
