[2025-08-30T13:07:18.291Z] [INFO] [T+0m] 📝 Logging to: s2-logs/s2-smoke-2025-08-30T13-07-18-289Z.log
[2025-08-30T13:07:18.291Z] [INFO] [T+0m] 🏃 Starting W1: Realistic Runs
[2025-08-30T13:07:18.291Z] [INFO] [T+0m] 🔄 Starting W2: SSE Churn
[2025-08-30T13:07:18.309Z] [INFO] [T+0m] 📦 Starting W3: Registry Pulse
[2025-08-30T13:07:18.309Z] [INFO] [T+0m] 🛡️ Starting W4: Safety Probes
[2025-08-30T13:07:18.310Z] [INFO] [T+0m] 🔒 Starting W5: Privacy Slice
[2025-08-30T13:07:18.310Z] [INFO] [T+0m] 🌪️ Starting W6: Light Chaos (disabled for smoke test)
[2025-08-30T13:07:18.310Z] [INFO] [T+0m] 📊 Starting Availability Monitor
[2025-08-30T13:07:18.321Z] [ERROR] [T+0m] SSE sse-1 request error: 
[2025-08-30T13:07:18.321Z] [ERROR] [T+0m] SSE sse-0 request error: 
[2025-08-30T13:07:18.322Z] [ERROR] [T+0m] SSE sse-3 request error: 
[2025-08-30T13:07:18.322Z] [ERROR] [T+0m] SSE sse-2 request error: 
[2025-08-30T13:07:18.322Z] [ERROR] [T+0m] SSE sse-4 request error: 
[2025-08-30T13:07:18.323Z] [ERROR] [T+0m] SSE sse-5 request error: 
[2025-08-30T13:07:18.323Z] [ERROR] [T+0m] SSE sse-6 request error: 
[2025-08-30T13:07:18.323Z] [ERROR] [T+0m] SSE sse-7 request error: 
[2025-08-30T13:07:18.323Z] [ERROR] [T+0m] SSE sse-8 request error: 
[2025-08-30T13:07:18.324Z] [ERROR] [T+0m] SSE sse-9 request error: 
[2025-08-30T13:07:18.324Z] [ERROR] [T+0m] SSE sse-10 request error: 
[2025-08-30T13:07:18.324Z] [ERROR] [T+0m] SSE sse-11 request error: 
[2025-08-30T13:07:18.324Z] [ERROR] [T+0m] SSE sse-12 request error: 
[2025-08-30T13:07:18.324Z] [ERROR] [T+0m] SSE sse-13 request error: 
[2025-08-30T13:07:18.324Z] [ERROR] [T+0m] SSE sse-14 request error: 
[2025-08-30T13:07:18.325Z] [ERROR] [T+0m] SSE sse-15 request error: 
[2025-08-30T13:07:18.325Z] [ERROR] [T+0m] SSE sse-16 request error: 
[2025-08-30T13:07:18.325Z] [ERROR] [T+0m] SSE sse-17 request error: 
[2025-08-30T13:07:18.325Z] [ERROR] [T+0m] SSE sse-18 request error: 
[2025-08-30T13:07:18.326Z] [ERROR] [T+0m] SSE sse-19 request error: 
[2025-08-30T13:07:20.099Z] [ERROR] [T+0m] SSE sse-1 request error: 
[2025-08-30T13:07:20.099Z] [ERROR] [T+0m] SSE sse-0 request error: 
[2025-08-30T13:07:20.100Z] [ERROR] [T+0m] SSE sse-3 request error: 
[2025-08-30T13:07:20.100Z] [ERROR] [T+0m] SSE sse-2 request error: 
[2025-08-30T13:07:20.100Z] [ERROR] [T+0m] SSE sse-4 request error: 
[2025-08-30T13:07:20.100Z] [ERROR] [T+0m] SSE sse-5 request error: 
[2025-08-30T13:07:20.101Z] [ERROR] [T+0m] SSE sse-6 request error: 
[2025-08-30T13:07:20.101Z] [ERROR] [T+0m] SSE sse-7 request error: 
[2025-08-30T13:07:20.101Z] [ERROR] [T+0m] SSE sse-8 request error: 
[2025-08-30T13:07:20.101Z] [ERROR] [T+0m] SSE sse-9 request error: 
[2025-08-30T13:07:20.102Z] [ERROR] [T+0m] SSE sse-10 request error: 
[2025-08-30T13:07:20.102Z] [ERROR] [T+0m] SSE sse-11 request error: 
[2025-08-30T13:07:20.102Z] [ERROR] [T+0m] SSE sse-12 request error: 
[2025-08-30T13:07:20.102Z] [ERROR] [T+0m] SSE sse-13 request error: 
[2025-08-30T13:07:20.103Z] [ERROR] [T+0m] SSE sse-14 request error: 
[2025-08-30T13:07:20.103Z] [ERROR] [T+0m] SSE sse-15 request error: 
[2025-08-30T13:07:20.103Z] [ERROR] [T+0m] SSE sse-16 request error: 
[2025-08-30T13:07:20.103Z] [ERROR] [T+0m] SSE sse-17 request error: 
[2025-08-30T13:07:20.104Z] [ERROR] [T+0m] SSE sse-18 request error: 
[2025-08-30T13:07:20.104Z] [ERROR] [T+0m] SSE sse-19 request error: 
[2025-08-30T13:07:23.645Z] [ERROR] [T+0m] SSE sse-1 request error: 
[2025-08-30T13:07:23.645Z] [ERROR] [T+0m] SSE sse-3 request error: 
[2025-08-30T13:07:23.645Z] [ERROR] [T+0m] SSE sse-0 request error: 
[2025-08-30T13:07:23.646Z] [ERROR] [T+0m] SSE sse-2 request error: 
[2025-08-30T13:07:23.646Z] [ERROR] [T+0m] SSE sse-4 request error: 
[2025-08-30T13:07:23.646Z] [ERROR] [T+0m] SSE sse-5 request error: 
[2025-08-30T13:07:23.646Z] [ERROR] [T+0m] SSE sse-7 request error: 
[2025-08-30T13:07:23.646Z] [ERROR] [T+0m] SSE sse-6 request error: 
[2025-08-30T13:07:23.646Z] [ERROR] [T+0m] SSE sse-8 request error: 
[2025-08-30T13:07:23.647Z] [ERROR] [T+0m] SSE sse-9 request error: 
[2025-08-30T13:07:23.647Z] [ERROR] [T+0m] SSE sse-10 request error: 
[2025-08-30T13:07:23.647Z] [ERROR] [T+0m] SSE sse-11 request error: 
[2025-08-30T13:07:23.647Z] [ERROR] [T+0m] SSE sse-12 request error: 
[2025-08-30T13:07:23.647Z] [ERROR] [T+0m] SSE sse-13 request error: 
[2025-08-30T13:07:23.647Z] [ERROR] [T+0m] SSE sse-14 request error: 
[2025-08-30T13:07:23.647Z] [ERROR] [T+0m] SSE sse-15 request error: 
[2025-08-30T13:07:23.648Z] [ERROR] [T+0m] SSE sse-16 request error: 
[2025-08-30T13:07:23.648Z] [ERROR] [T+0m] SSE sse-17 request error: 
[2025-08-30T13:07:23.648Z] [ERROR] [T+0m] SSE sse-18 request error: 
[2025-08-30T13:07:23.649Z] [ERROR] [T+0m] SSE sse-19 request error: 
[2025-08-30T13:07:30.723Z] [ERROR] [T+0m] SSE sse-1 request error: 
[2025-08-30T13:07:30.723Z] [ERROR] [T+0m] SSE sse-3 request error: 
[2025-08-30T13:07:30.724Z] [ERROR] [T+0m] SSE sse-0 request error: 
[2025-08-30T13:07:30.724Z] [ERROR] [T+0m] SSE sse-2 request error: 
[2025-08-30T13:07:30.724Z] [ERROR] [T+0m] SSE sse-4 request error: 
[2025-08-30T13:07:30.725Z] [ERROR] [T+0m] SSE sse-5 request error: 
[2025-08-30T13:07:30.725Z] [ERROR] [T+0m] SSE sse-7 request error: 
