[2025-09-03T00:12:56.057Z] [INFO] [T+0m] 📝 Logging to: s2-logs/s2-smoke-2025-09-03T00-12-56-056Z.log
[2025-09-03T00:12:56.057Z] [INFO] [T+0m] 🏃 Starting W1: Realistic Runs
[2025-09-03T00:12:56.058Z] [INFO] [T+0m] 🔄 Starting W2: SSE Churn
[2025-09-03T00:12:56.079Z] [INFO] [T+0m] 📦 Starting W3: Registry Pulse
[2025-09-03T00:12:56.079Z] [INFO] [T+0m] 🛡️ Starting W4: Safety Probes
[2025-09-03T00:12:56.080Z] [INFO] [T+0m] 🔒 Starting W5: Privacy Slice
[2025-09-03T00:12:56.080Z] [INFO] [T+0m] 🌪️ Starting W6: Light Chaos (disabled for smoke test)
[2025-09-03T00:12:56.080Z] [INFO] [T+0m] 📊 Starting Availability Monitor
[2025-09-03T00:12:56.092Z] [ERROR] [T+0m] SSE sse-0 request error: 
[2025-09-03T00:12:56.093Z] [ERROR] [T+0m] SSE sse-1 request error: 
[2025-09-03T00:12:56.093Z] [ERROR] [T+0m] SSE sse-2 request error: 
[2025-09-03T00:12:56.093Z] [ERROR] [T+0m] SSE sse-3 request error: 
[2025-09-03T00:12:56.094Z] [ERROR] [T+0m] SSE sse-4 request error: 
[2025-09-03T00:12:56.094Z] [ERROR] [T+0m] SSE sse-5 request error: 
[2025-09-03T00:12:56.094Z] [ERROR] [T+0m] SSE sse-6 request error: 
[2025-09-03T00:12:56.094Z] [ERROR] [T+0m] SSE sse-7 request error: 
[2025-09-03T00:12:56.094Z] [ERROR] [T+0m] SSE sse-8 request error: 
[2025-09-03T00:12:56.095Z] [ERROR] [T+0m] SSE sse-9 request error: 
[2025-09-03T00:12:56.095Z] [ERROR] [T+0m] SSE sse-10 request error: 
[2025-09-03T00:12:56.095Z] [ERROR] [T+0m] SSE sse-11 request error: 
[2025-09-03T00:12:56.095Z] [ERROR] [T+0m] SSE sse-12 request error: 
[2025-09-03T00:12:56.095Z] [ERROR] [T+0m] SSE sse-14 request error: 
[2025-09-03T00:12:56.096Z] [ERROR] [T+0m] SSE sse-13 request error: 
[2025-09-03T00:12:56.096Z] [ERROR] [T+0m] SSE sse-15 request error: 
[2025-09-03T00:12:56.096Z] [ERROR] [T+0m] SSE sse-16 request error: 
[2025-09-03T00:12:56.096Z] [ERROR] [T+0m] SSE sse-18 request error: 
[2025-09-03T00:12:56.096Z] [ERROR] [T+0m] SSE sse-17 request error: 
[2025-09-03T00:12:56.097Z] [ERROR] [T+0m] SSE sse-19 request error: 
[2025-09-03T00:12:57.733Z] [ERROR] [T+0m] SSE sse-0 request error: 
[2025-09-03T00:12:57.733Z] [ERROR] [T+0m] SSE sse-1 request error: 
[2025-09-03T00:12:57.733Z] [ERROR] [T+0m] SSE sse-2 request error: 
[2025-09-03T00:12:57.734Z] [ERROR] [T+0m] SSE sse-3 request error: 
[2025-09-03T00:12:57.734Z] [ERROR] [T+0m] SSE sse-4 request error: 
